ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt,abs_salt_diff_052
2019-01-05 00:00:00,-0.96875,-75.56257879717236,39.48598606222611,53.143809330233445,0.5459752,0.025975227
2019-01-05 01:00:00,-0.96875,-75.55687920151024,39.50565548475636,54.50414360273734,0.5521694,0.0321694
2019-01-05 02:00:00,-0.96875,-75.54595432933559,39.535286030627844,56.515033912846405,0.47030455,0.049695432
2019-01-05 03:00:00,-0.96875,-75.540310167641,39.551726849174806,57.64581073313797,0.5011014,0.018898606
2019-01-05 04:00:00,-0.96875,-75.54988125650517,39.571937139302605,59.11038129813908,0.5386644,0.01866442
2019-01-05 05:00:00,-0.96875,-75.55280828835795,39.57661585798313,59.45087585903198,0.5079274,0.012072563
2019-01-05 06:00:00,-0.96875,-75.54999284992157,39.569699662156744,58.92593188694961,0.51382154,0.0061784387
2019-01-05 07:00:00,-0.96875,-75.54152724400281,39.55616545438693,57.95805533630733,0.5289174,0.008917391
2019-01-05 08:00:00,-0.96875,-75.54823375606975,39.52325073310537,55.67508981524701,0.4740661,0.045933872
2019-01-05 09:00:00,-0.96875,-75.5635214616766,39.48399246453662,53.00557393671902,0.5267646,0.0067645907
2019-01-05 10:00:00,-0.96875,-75.56208222806097,39.46569689292546,51.71976112094247,0.526831,0.0068309903
2019-01-05 11:00:00,-0.96875,-75.56310856521023,39.46981747379021,52.01136958358161,0.53562874,0.015628755
2019-01-05 12:00:00,-0.96875,-75.56071931627203,39.49012017521256,53.43769264150382,0.5206206,0.00062060356
2019-01-05 13:00:00,-0.96875,-75.55090146669895,39.51582669864942,55.17173954717649,0.530779,0.010779023
2019-01-05 14:00:00,-0.96875,-75.54214915898628,39.544836892401534,57.1620450256648,0.5332924,0.013292432
2019-01-05 15:00:00,-0.96875,-75.55082137484473,39.574231101847616,59.28463693121821,0.46799922,0.05200076
2019-01-05 16:00:00,-0.96875,-75.56307821206644,39.59146102315327,60.51655196380821,0.53638464,0.016384661
2019-01-05 17:00:00,-0.96875,-75.56770316135697,39.596906195786474,60.94659352112151,0.5647664,0.044766426
2019-01-05 18:00:00,-0.96875,-75.56234068379523,39.58904749089606,60.331827281788975,0.40436777,0.115632206
2019-01-05 19:00:00,-0.96875,-75.54690967488298,39.565108505550555,58.59509620557732,0.56942797,0.049427986
2019-01-05 20:00:00,-0.96875,-75.54310964252714,39.54248020272417,57.002727582366425,0.46038693,0.05961305
2019-01-05 21:00:00,-0.96875,-75.55654394899307,39.503452146066486,54.34823215943785,0.5212062,0.0012062192
2019-01-05 22:00:00,-0.96875,-75.56344414709491,39.47121322985658,52.108282295012685,0.5271852,0.0071852207
2019-01-05 23:00:00,-0.96875,-75.56028575269616,39.45891193759294,51.222227701566005,0.5191654,0.00083458424
2019-01-06 00:00:00,-0.96875,-75.56318531943133,39.48231858304697,52.88436482079461,0.46427858,0.055721402
2019-01-06 01:00:00,-0.96875,-75.56318531943133,39.48231858304697,52.88436482079461,0.52038264,0.00038266182
2019-01-06 02:00:00,-0.96875,-75.55833606397199,39.498754373308785,54.02989215368692,0.5504591,0.030459106
2019-01-06 03:00:00,-0.96875,-75.54912663399548,39.52077636363599,55.50726534974365,0.52847403,0.008474052
2019-01-06 04:00:00,-0.96875,-75.54501227629483,39.53770369233143,56.67875609538825,0.457763,0.062236995
2019-01-06 05:00:00,-0.96875,-75.54310964252714,39.54248020272417,57.002727582366425,0.52849966,0.008499682
2019-01-06 06:00:00,-0.96875,-75.54021046589138,39.54948330203355,57.47658609565121,0.5418635,0.02186352
2019-01-06 07:00:00,-0.96875,-75.54501227629483,39.53770369233143,56.67875609538825,0.5010136,0.018986404
2019-01-06 08:00:00,-0.96875,-75.55354875442319,39.508465245697884,54.672748309518255,0.5663957,0.04639572
2019-01-06 09:00:00,-0.96875,-75.56347542669609,39.47731404584592,52.52794983111889,0.497373,0.022626966
2019-01-06 10:00:00,-0.96875,-75.55537100625332,39.451551060571845,50.61086271199608,0.5307547,0.0107547045
2019-01-06 11:00:00,-0.96875,-75.55746043032178,39.45386798616897,50.815797344669534,0.5201058,0.000105798244
2019-01-06 12:00:00,-0.96875,-75.56028575269616,39.45891193759294,51.222227701566005,0.5206586,0.0006586313
2019-01-06 13:00:00,-0.96875,-75.56347542669609,39.47731404584592,52.52794983111889,0.516908,0.003091991
2019-01-06 14:00:00,-0.96875,-75.55266705990525,39.510904329459024,54.838169876355856,0.5210609,0.0010609031
2019-01-06 15:00:00,-0.96875,-75.54214915898628,39.544836892401534,57.1620450256648,0.5012582,0.018741786
2019-01-06 16:00:00,-0.96875,-75.54999284992157,39.569699662156744,58.92593188694961,0.52347386,0.003473878
2019-01-06 17:00:00,-0.96875,-75.55670449282687,39.58148734184725,59.7929897575911,0.54497176,0.024971783
2019-01-06 18:00:00,-0.96875,-75.55670449282687,39.58148734184725,59.7929897575911,0.53760487,0.017604887
2019-01-06 19:00:00,-0.96875,-75.54999284992157,39.569699662156744,58.92593188694961,0.53087586,0.010875881
2019-01-06 20:00:00,-0.96875,-75.5468902376685,39.53285062675551,56.34976537100757,0.50015545,0.019844532
2019-01-06 21:00:00,-0.96875,-75.55743803262969,39.50108502540483,54.187632164968974,0.49043518,0.029564798
2019-01-06 22:00:00,-0.96875,-75.56310856521023,39.46981747379021,52.01136958358161,0.53650296,0.016502976
2019-01-06 23:00:00,-0.96875,-75.55953365887385,39.456202447538104,51.02154541656383,0.5154321,0.0045678616
2019-01-07 00:00:00,-0.96875,-75.56065451170278,39.460266699046144,51.32240201452099,0.51698583,0.0030141473
2019-01-07 01:00:00,-0.96875,-75.56028575269616,39.45891193759294,51.222227701566005,0.51062125,0.009378731
2019-01-07 02:00:00,-0.96875,-75.56377739385314,39.472626577356486,52.205532730768965,0.5422177,0.022217691
2019-01-07 03:00:00,-0.96875,-75.56014818259959,39.494219056982175,53.722923813142586,0.5019647,0.018035293
2019-01-07 04:00:00,-0.96875,-75.55418903906846,39.51301582966985,55.00293073423891,0.47738948,0.042610496
2019-01-07 05:00:00,-0.96875,-75.54733638502073,39.52571983777987,55.84232958279782,0.52624094,0.006240964
2019-01-07 06:00:00,-0.96875,-75.5468902376685,39.53285062675551,56.34976537100757,0.51203775,0.007962227
2019-01-07 07:00:00,-0.96875,-75.54758671306891,39.528056396460165,56.017743651463405,0.52039325,0.00039327145
2019-01-07 08:00:00,-0.96875,-75.55354875442319,39.508465245697884,54.672748309518255,0.5172414,0.0027585626
2019-01-07 09:00:00,-0.96875,-75.56277004863482,39.46843508885267,51.91448438901112,0.5347786,0.014778614
2019-01-07 10:00:00,-0.96875,-75.54385488072835,39.44197580718704,49.69872152225512,0.59180504,0.07180506
2019-01-07 11:00:00,-0.96875,-75.52932704369148,39.42942059099923,48.51441329507831,0.5577373,0.03773731
2019-01-07 12:00:00,-0.96875,-75.53108091371777,39.430242207230954,48.61419468418312,0.40110675,0.118893236
2019-01-07 13:00:00,-0.96875,-75.54340727592947,39.44065147322987,49.60488048917211,0.43743563,0.082564354
2019-01-07 14:00:00,-0.96875,-75.55953365887385,39.456202447538104,51.02154541656383,0.53359866,0.0135986805
