datetime,saltfront_daily,saltfront7_weekly
2000-11-05T00:00:00Z,75.93,74.23571428571428
2000-11-06T00:00:00Z,76.75,74.90857142857143
2000-11-07T00:00:00Z,77.42,75.6
2000-11-08T00:00:00Z,78.06,76.19714285714285
2000-11-09T00:00:00Z,78.61,76.74857142857142
2000-11-10T00:00:00Z,79.2,77.30714285714285
2000-11-11T00:00:00Z,76.74,77.53
2000-11-12T00:00:00Z,78.7,77.92571428571429
2000-11-13T00:00:00Z,79.32,78.29285714285713
2000-11-14T00:00:00Z,79.34,78.56714285714285
2000-11-15T00:00:00Z,77.38,78.47
2000-11-16T00:00:00Z,76.95,78.23285714285714
2000-11-17T00:00:00Z,76.05,77.78285714285714
2000-11-18T00:00:00Z,75.76,77.64285714285714
2000-11-19T00:00:00Z,76.28,77.29714285714284
2000-11-20T00:00:00Z,76.53,76.89857142857143
2000-11-21T00:00:00Z,75.7,76.37857142857142
2000-11-22T00:00:00Z,74.59,75.97999999999999
2000-11-23T00:00:00Z,74.58,75.64142857142858
2000-11-24T00:00:00Z,76.98,75.77428571428572
2000-11-25T00:00:00Z,77.31,75.99571428571429
2000-11-26T00:00:00Z,79.05,76.39142857142858
2000-11-27T00:00:00Z,76.94,76.45
2000-11-28T00:00:00Z,75.32,76.39571428571428
2000-11-29T00:00:00Z,74.63,76.40142857142857
2000-11-30T00:00:00Z,73.85,76.29714285714284
2000-12-01T00:00:00Z,73.82,75.84571428571428
2000-12-02T00:00:00Z,74.11,75.38857142857144
2000-12-03T00:00:00Z,73.82,74.64142857142858
2000-12-04T00:00:00Z,NA,NA
2000-12-05T00:00:00Z,NA,NA
2000-12-06T00:00:00Z,NA,NA
2000-12-07T00:00:00Z,NA,NA
2000-12-08T00:00:00Z,NA,NA
2000-12-09T00:00:00Z,NA,NA
2000-12-10T00:00:00Z,NA,NA
2000-12-11T00:00:00Z,NA,NA
2000-12-12T00:00:00Z,NA,NA
2000-12-13T00:00:00Z,NA,NA
2000-12-14T00:00:00Z,NA,NA
2000-12-15T00:00:00Z,NA,NA
2000-12-16T00:00:00Z,NA,NA
2000-12-17T00:00:00Z,NA,NA
2000-12-18T00:00:00Z,NA,NA
2000-12-19T00:00:00Z,NA,NA
2000-12-20T00:00:00Z,NA,NA
2000-12-21T00:00:00Z,NA,NA
2000-12-22T00:00:00Z,NA,NA
2000-12-23T00:00:00Z,NA,NA
2000-12-24T00:00:00Z,NA,NA
2000-12-25T00:00:00Z,NA,NA
2000-12-26T00:00:00Z,NA,NA
2000-12-27T00:00:00Z,NA,NA
2000-12-28T00:00:00Z,NA,NA
2000-12-29T00:00:00Z,NA,NA
2000-12-30T00:00:00Z,NA,NA
2000-12-31T00:00:00Z,NA,NA
2001-01-01T00:00:00Z,NA,NA
2001-01-02T00:00:00Z,NA,NA
2001-01-03T00:00:00Z,NA,NA
2001-01-04T00:00:00Z,NA,NA
2001-01-05T00:00:00Z,NA,NA
2001-01-06T00:00:00Z,NA,NA
2001-01-07T00:00:00Z,NA,NA
2001-01-08T00:00:00Z,NA,NA
2001-01-09T00:00:00Z,NA,NA
2001-01-10T00:00:00Z,NA,NA
2001-01-11T00:00:00Z,NA,NA
2001-01-12T00:00:00Z,NA,NA
2001-01-13T00:00:00Z,NA,NA
2001-01-14T00:00:00Z,NA,NA
2001-01-15T00:00:00Z,NA,NA
2001-01-16T00:00:00Z,NA,NA
2001-01-17T00:00:00Z,NA,NA
2001-01-18T00:00:00Z,NA,NA
2001-01-19T00:00:00Z,NA,NA
2001-01-20T00:00:00Z,NA,NA
2001-01-21T00:00:00Z,NA,NA
2001-01-22T00:00:00Z,NA,NA
2001-01-23T00:00:00Z,NA,NA
2001-01-24T00:00:00Z,NA,NA
2001-01-25T00:00:00Z,NA,NA
2001-01-26T00:00:00Z,NA,NA
2001-01-27T00:00:00Z,NA,NA
2001-01-28T00:00:00Z,NA,NA
2001-01-29T00:00:00Z,NA,NA
2001-01-30T00:00:00Z,NA,NA
2001-01-31T00:00:00Z,NA,NA
2001-02-01T00:00:00Z,NA,NA
2001-02-02T00:00:00Z,NA,NA
2001-02-03T00:00:00Z,NA,NA
2001-02-04T00:00:00Z,NA,NA
2001-02-05T00:00:00Z,NA,NA
2001-02-06T00:00:00Z,NA,NA
2001-02-07T00:00:00Z,NA,NA
2001-02-08T00:00:00Z,NA,NA
2001-02-09T00:00:00Z,NA,NA
2001-02-10T00:00:00Z,NA,NA
2001-02-11T00:00:00Z,NA,NA
2001-02-12T00:00:00Z,NA,NA
2001-02-13T00:00:00Z,NA,NA
2001-02-14T00:00:00Z,NA,NA
2001-02-15T00:00:00Z,NA,NA
2001-02-16T00:00:00Z,NA,NA
2001-02-17T00:00:00Z,NA,NA
2001-02-18T00:00:00Z,NA,NA
2001-02-19T00:00:00Z,NA,NA
2001-02-20T00:00:00Z,NA,NA
2001-02-21T00:00:00Z,NA,NA
2001-02-22T00:00:00Z,NA,NA
2001-02-23T00:00:00Z,NA,NA
2001-02-24T00:00:00Z,NA,NA
2001-02-25T00:00:00Z,NA,NA
